Freq.	V(vin)	V(vout)
1.00000000000000e+00	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.47715168476145e+02dB,1.79952050014106e+02°)
1.25892541179417e+00	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.43715157802346e+02dB,1.79940658183191e+02°)
1.58489319246111e+00	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.39715140883241e+02dB,1.79926106134987e+02°)
1.99526231496888e+00	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.35715114066804e+02dB,1.79907618870958e+02°)
2.51188643150958e+00	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.31715071564629e+02dB,1.79884211779281e+02°)
3.16227766016838e+00	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.27715004202434e+02dB,1.79854638152236e+02°)
3.98107170553497e+00	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.23714897439643e+02dB,1.79817322697788e+02°)
5.01187233627272e+00	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.19714728230415e+02dB,1.79770277456620e+02°)
6.30957344480194e+00	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.15714460048250e+02dB,1.79710995551087e+02°)
7.94328234724282e+00	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.11714034999362e+02dB,1.79636316916600e+02°)
1.00000000000000e+01	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.07713361320334e+02dB,1.79542258483431e+02°)
1.25892541179417e+01	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.03712293556023e+02dB,1.79423799003256e+02°)
1.58489319246111e+01	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-9.97106011255196e+01dB,1.79274605538913e+02°)
1.99526231496888e+01	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-9.57079184569897e+01dB,1.79086684007767e+02°)
